platform,board_dir,board_id,board_name,module_id,module_name,module_platforms,module_platform_match,allow_contains_module,resolve_with_allow,status,reason
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),adc,ADC,"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),ads1115,ADS1115 16-bit ADC + PGA,"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),bluetooth,Bluetooth Core,esp32,no,no,no,UNSUPPORTED,not_allowed:bluetooth
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),bme280,BME280 Environmental Sensor,"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),dht22,DHT22 Sensor,"esp32,stm32,rp2040,avr,pic16",yes,yes,no,UNSUPPORTED,dependency_not_allowed:timer
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),display_ssd1306,SSD1306 Display,"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),eeprom,EEPROM,"esp32,stm32,rp2040,avr,pic,pic16",yes,no,no,UNSUPPORTED,not_allowed:eeprom
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),fs_sd,SD Card Filesystem,,yes,no,no,UNSUPPORTED,not_allowed:fs_sd
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),fs_spiffs,SPIFFS Filesystem,,yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),gpio,GPIO,"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),hp4067,HP4067 / 74HC4067 Mux,"esp32,stm32,rp2040,avr,pic16",yes,no,no,UNSUPPORTED,not_allowed:hp4067
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),i2c,I2C Core,,yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),imu,IMU Sensor,"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),l298n,L298N H-Bridge Driver,"esp32,stm32,rp2040,avr,atmega,atsam,renesas_ra,renesas_rx,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),mcp23017,MCP23017 I/O Expander,"esp32,stm32,rp2040,avr,pic16",yes,no,no,UNSUPPORTED,not_allowed:mcp23017
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),mcp2515,MCP2515 SPI CAN Controller,"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),mcp2544fd,MCP2544FD CAN PHY,esp32,no,no,no,UNSUPPORTED,not_allowed:mcp2544fd
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),mic,Microphone Input,"esp32,stm32,rp2040",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),psram,PSRAM,esp32,no,no,no,UNSUPPORTED,not_allowed:psram
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),pwm,PWM,"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,no,UNSUPPORTED,dependency_not_allowed:timer
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),remote_node,Remote Node,"esp32,stm32,rp2040,avr,pic,pic16",yes,no,no,UNSUPPORTED,not_allowed:remote_node
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),rtc,RTC (DS3231/PCF8523),"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),shell_full,Shell (Full),"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),shell_min,Shell (Lite),"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),shell_tiny,Shell (Tiny),"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),spi,SPI Bus,,yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),tft,TFT Display,"esp32,stm32,rp2040",no,no,no,UNSUPPORTED,not_allowed:tft
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),timer,Timer,"esp32,stm32,rp2040,avr,pic,pic16",yes,no,no,UNSUPPORTED,not_allowed:timer
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),tp4056,TP4056 Li-Ion Charger,"esp32,stm32,rp2040,avr,atmega,atsam,renesas_ra,renesas_rx,pic16",yes,no,no,UNSUPPORTED,not_allowed:tp4056
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),twai,TWAI / CAN,esp32,no,no,no,UNSUPPORTED,not_allowed:twai
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),uart,UART,"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),uln2003,ULN2003 Stepper Driver,"esp32,stm32,rp2040,avr,atmega,atsam,renesas_ra,renesas_rx,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_nano_v3,arduino_nano_v3,Arduino Nano V3 (ATmega328P),wifi,Wi-Fi (Station),esp32,no,no,no,UNSUPPORTED,not_allowed:wifi
